"Date/Step","Count"
"2018-08-21 17:00:00","60"
"2018-08-21 17:15:00","65"
"2018-08-21 17:30:00","71"
"2018-08-21 17:45:00","59"
"2018-08-21 18:00:00","56"
"2018-08-21 18:15:00","51"
"2018-08-21 18:30:00","70"
"2018-08-21 18:45:00","48"
"2018-08-21 19:00:00","59"
"2018-08-21 19:15:00","63"
"2018-08-21 19:30:00","45"
"2018-08-21 19:45:00","54"
"2018-08-21 20:00:00","40"
"2018-08-21 20:15:00","50"
"2018-08-21 20:30:00","33"
"2018-08-21 20:45:00","28"
"2018-08-21 21:00:00","30"
"2018-08-21 21:15:00","24"
"2018-08-21 21:30:00","42"
"2018-08-21 21:45:00","35"
"2018-08-21 22:00:00","27"
"2018-08-21 22:15:00","33"
"2018-08-21 22:30:00","27"
"2018-08-21 22:45:00","29"
"2018-08-21 23:00:00","25"
"2018-08-21 23:15:00","34"
"2018-08-21 23:30:00","27"
"2018-08-21 23:45:00","34"
"2018-08-22 00:00:00","26"
"2018-08-22 00:15:00","22"
"2018-08-22 00:30:00","19"
"2018-08-22 00:45:00","20"
"2018-08-22 01:00:00","17"
"2018-08-22 01:15:00","12"
"2018-08-22 01:30:00","17"
"2018-08-22 01:45:00","9"
"2018-08-22 02:00:00","7"
"2018-08-22 02:15:00","6"
"2018-08-22 02:30:00","9"
"2018-08-22 02:45:00","12"
"2018-08-22 03:00:00","4"
"2018-08-22 03:15:00","7"
"2018-08-22 03:30:00","10"
"2018-08-22 03:45:00","11"
"2018-08-22 04:00:00","12"
"2018-08-22 04:15:00","13"
"2018-08-22 04:30:00","12"
"2018-08-22 04:45:00","14"
"2018-08-22 05:00:00","12"
"2018-08-22 05:15:00","7"
"2018-08-22 05:30:00","13"
"2018-08-22 05:45:00","10"
"2018-08-22 06:00:00","22"
"2018-08-22 06:15:00","14"
"2018-08-22 06:30:00","25"
"2018-08-22 06:45:00","25"
"2018-08-22 07:00:00","17"
"2018-08-22 07:15:00","23"
"2018-08-22 07:30:00","37"
"2018-08-22 07:45:00","28"
"2018-08-22 08:00:00","31"
"2018-08-22 08:15:00","29"
"2018-08-22 08:30:00","41"
"2018-08-22 08:45:00","43"
"2018-08-22 09:00:00","34"
"2018-08-22 09:15:00","38"
"2018-08-22 09:30:00","45"
"2018-08-22 09:45:00","46"
"2018-08-22 10:00:00","44"
"2018-08-22 10:15:00","57"
"2018-08-22 10:30:00","53"
"2018-08-22 10:45:00","47"
"2018-08-22 11:00:00","60"
"2018-08-22 11:15:00","64"
"2018-08-22 11:30:00","51"
"2018-08-22 11:45:00","69"
"2018-08-22 12:00:00","64"
"2018-08-22 12:15:00","54"
"2018-08-22 12:30:00","57"
"2018-08-22 12:45:00","46"
"2018-08-22 13:00:00","46"
"2018-08-22 13:15:00","51"
"2018-08-22 13:30:00","51"
"2018-08-22 13:45:00","48"
"2018-08-22 14:00:00","49"
"2018-08-22 14:15:00","52"
"2018-08-22 14:30:00","53"
"2018-08-22 14:45:00","56"
"2018-08-22 15:00:00","56"
"2018-08-22 15:15:00","56"
"2018-08-22 15:30:00","64"
"2018-08-22 15:45:00","54"
"2018-08-22 16:00:00","60"
"2018-08-22 16:15:00","52"
"2018-08-22 16:30:00","57"
"2018-08-22 16:45:00","65"
"2018-08-22 17:00:00","70"
"2018-08-22 17:15:00","74"
"2018-08-22 17:30:00","59"
"2018-08-22 17:45:00","73"
"2018-08-22 18:00:00","43"
"2018-08-22 18:15:00","64"
"2018-08-22 18:30:00","63"
"2018-08-22 18:45:00","57"
"2018-08-22 19:00:00","57"
"2018-08-22 19:15:00","59"
"2018-08-22 19:30:00","73"
"2018-08-22 19:45:00","47"
"2018-08-22 20:00:00","39"
"2018-08-22 20:15:00","40"
"2018-08-22 20:30:00","35"
"2018-08-22 20:45:00","36"
"2018-08-22 21:00:00","31"
"2018-08-22 21:15:00","41"
"2018-08-22 21:30:00","33"
"2018-08-22 21:45:00","26"
"2018-08-22 22:00:00","24"
"2018-08-22 22:15:00","31"
"2018-08-22 22:30:00","36"
"2018-08-22 22:45:00","33"
"2018-08-22 23:00:00","34"
"2018-08-22 23:15:00","31"
"2018-08-22 23:30:00","35"
"2018-08-22 23:45:00","30"
"2018-08-23 00:00:00","34"
"2018-08-23 00:15:00","19"
"2018-08-23 00:30:00","20"
"2018-08-23 00:45:00","16"
"2018-08-23 01:00:00","15"
"2018-08-23 01:15:00","13"
"2018-08-23 01:30:00","11"
"2018-08-23 01:45:00","16"
"2018-08-23 02:00:00","13"
"2018-08-23 02:15:00","6"
"2018-08-23 02:30:00","13"
"2018-08-23 02:45:00","6"
"2018-08-23 03:00:00","9"
"2018-08-23 03:15:00","8"
"2018-08-23 03:30:00","10"
"2018-08-23 03:45:00","7"
"2018-08-23 04:00:00","12"
"2018-08-23 04:15:00","14"
"2018-08-23 04:30:00","11"
"2018-08-23 04:45:00","9"
"2018-08-23 05:00:00","5"
"2018-08-23 05:15:00","11"
"2018-08-23 05:30:00","12"
"2018-08-23 05:45:00","17"
"2018-08-23 06:00:00","11"
"2018-08-23 06:15:00","16"
"2018-08-23 06:30:00","17"
"2018-08-23 06:45:00","18"
"2018-08-23 07:00:00","33"
"2018-08-23 07:15:00","26"
"2018-08-23 07:30:00","29"
"2018-08-23 07:45:00","27"
"2018-08-23 08:00:00","30"
"2018-08-23 08:15:00","45"
"2018-08-23 08:30:00","47"
"2018-08-23 08:45:00","45"
"2018-08-23 09:00:00","49"
"2018-08-23 09:15:00","43"
"2018-08-23 09:30:00","55"
"2018-08-23 09:45:00","57"
"2018-08-23 10:00:00","50"
"2018-08-23 10:15:00","55"
"2018-08-23 10:30:00","52"
"2018-08-23 10:45:00","48"
"2018-08-23 11:00:00","65"
"2018-08-23 11:15:00","56"
"2018-08-23 11:30:00","55"
"2018-08-23 11:45:00","79"
"2018-08-23 12:00:00","52"
"2018-08-23 12:15:00","54"
"2018-08-23 12:30:00","50"
"2018-08-23 12:45:00","49"
"2018-08-23 13:00:00","49"
"2018-08-23 13:15:00","55"
"2018-08-23 13:30:00","43"
"2018-08-23 13:45:00","36"
"2018-08-23 14:00:00","49"
"2018-08-23 14:15:00","68"
"2018-08-23 14:30:00","46"
"2018-08-23 14:45:00","56"
"2018-08-23 15:00:00","55"
"2018-08-23 15:15:00","55"
"2018-08-23 15:30:00","65"
"2018-08-23 15:45:00","51"
"2018-08-23 16:00:00","62"
"2018-08-23 16:15:00","78"
"2018-08-23 16:30:00","60"
"2018-08-23 16:45:00","59"
"2018-08-23 17:00:00","70"
"2018-08-23 17:15:00","52"
"2018-08-23 17:30:00","77"
"2018-08-23 17:45:00","53"
"2018-08-23 18:00:00","58"
"2018-08-23 18:15:00","63"
"2018-08-23 18:30:00","62"
"2018-08-23 18:45:00","66"
"2018-08-23 19:00:00","66"
"2018-08-23 19:15:00","60"
"2018-08-23 19:30:00","51"
"2018-08-23 19:45:00","54"
"2018-08-23 20:00:00","43"
"2018-08-23 20:15:00","39"
"2018-08-23 20:30:00","37"
"2018-08-23 20:45:00","35"
"2018-08-23 21:00:00","37"
"2018-08-23 21:15:00","43"
"2018-08-23 21:30:00","33"
"2018-08-23 21:45:00","35"
"2018-08-23 22:00:00","38"
"2018-08-23 22:15:00","29"
"2018-08-23 22:30:00","37"
"2018-08-23 22:45:00","34"
"2018-08-23 23:00:00","27"
"2018-08-23 23:15:00","33"
"2018-08-23 23:30:00","26"
"2018-08-23 23:45:00","28"
"2018-08-24 00:00:00","22"
"2018-08-24 00:15:00","25"
"2018-08-24 00:30:00","32"
"2018-08-24 00:45:00","17"
"2018-08-24 01:00:00","25"
"2018-08-24 01:15:00","19"
"2018-08-24 01:30:00","17"
"2018-08-24 01:45:00","14"
"2018-08-24 02:00:00","13"
"2018-08-24 02:15:00","15"
