"Espira","nr_past_ts","epochs","hidden_layers","n_units","mae","rmse","mape","test_mae","test_rmse","test_mape"
"4_ct4","3","20","1","[64]","5.102193141442234","50.86311862243567","[24.98210601]","6.1899342772982155","78.6908438385113","[35.682274]"
"4_ct4","3","20","1","[64]","5.102193141442234","50.86311862243567","[24.98210601]","6.1899342772982155","78.6908438385113","[35.682274]"
