"filename","nr_past_ts","epochs","hidden_layers","n_units","mae","rmse","mape","test_mae","test_rmse","test_mape"
"freeway_data2.csv","6","1","2","[64, 64]","290.98548665654965","125144.33919993309","53.547924748607024","279.61295909579184","118040.48798832309","52.413905608655725"
"freeway_data2.csv","6","30","2","[64, 64]","69.2388868243773","9923.407516011792","14.24142468162353","67.80874470597828","9792.788844199713","12.919968535433222"
"freeway_data2.csv","6","30","2","[32, 32]","48.15460842176807","5177.880843650689","9.590022153913921","49.30357787752472","5947.349010339482","9.232712470775093"
"freeway_data2.csv","6","30","1","[32]","48.354129455865866","5221.457578133712","10.170012783693693","49.598395134138904","6040.207560645633","9.132771536003366"
"freeway_data2.csv","6","30","1","[32]","46.73264693329102","4895.8107053420845","9.779083339162005","48.16363287196808","5675.53504560035","8.801358778193038"
"freeway_data2.csv","6","30","1","[64]","46.55628101488398","4875.868785172802","10.558259694306155","47.9821984531232","5681.915272671706","8.879753319029637"
"freeway_data2.csv w/bday","4","20","1","[64]","48.24325395914989","5050.456085492875","10.287458770464575","50.4445876051358","5939.526916947168","9.628332146191996"
"freeway_data2.csv w/bday","4","20","1","[64]","48.24325395914989","5050.456085492875","10.287458770464575","50.4445876051358","5939.526916947168","9.628332146191996"
"freeway_data2.csv w/bday","4","50","1","[64]","50.37265587313167","5405.881270919455","8.980550809878775","51.33552657387254","6059.453633440004","8.961394128115877"
"freeway_data2.csv w/bday","4","50","1","[64]","50.37265587313167","5405.881270919455","8.980550809878775","51.33552657387254","6059.453633440004","8.961394128115877"
