round_epochs,loss,mean_absolute_error,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,optimizer,shapes,activation,losses
500,2263.622288161058,41.858204005314754,0.001,16,2,16,500,0.01,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
500,61.275971207251914,5.460866887752826,0.001,16,2,8,500,0.01,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
