Id unico Global Espira,Zona,ID Espira Por zona,ID Cruzamento,Lon (DecDegrees),Lat (DecDegrees)
5a535bcea33116f026ef672d,7,13,103,-9.13865089417,38.7424650645
5a535bcea33116f026ef68d5,7,14,152,-9.13220286369,38.7437453778
5a535bcea33116f026ef670a,7,1,102,-9.13906395435,38.7438206897
5a535bcea33116f026ef6956,7,12,102,-9.13914978504,38.7442767429
5a535bcea33116f026ef68cd,7,8,263,-9.13130700588,38.7465569657
5a535bcea33116f026ef68db,9,4,73,-9.16133165359,38.7040366193
5a535bcea33116f026ef695a,9,1,70,-9.15213704109,38.7064939461
5a535bcea33116f026ef6737,9,3,65,-9.14162814617,38.7065525526
5a535bcea33116f026ef6741,10,1,75,-9.17611598969,38.70147036
5a535bcea33116f026ef674b,10,4,75,-9.17620182037,38.7015415299
5a535bcea33116f026ef6960,10,3,40,-9.16832149029,38.7036096136
5a535bcea33116f026ef68e1,10,2,73,-9.16117608547,38.7040826688
5a535bcfa33116f026ef6964,10,9,604,-9.17412042618,38.7060418378
5a535bcea33116f026ef68e7,10,5,604,-9.17555809021,38.7068079086
5a535bcea33116f026ef68ed,10,8,605,-9.17367517948,38.7080721166
5a535bcfa33116f026ef6962,10,6,400,-9.17530596256,38.7121952889
5a535bcfa33116f026ef6974,12,20,274,-9.15702939034,38.7357451353
5a535bcfa33116f026ef696c,12,9,297,-9.15986716747,38.7362723755
5a535bcea33116f026ef6763,12,3,274,-9.15610671043,38.7372054975
5a535bcfa33116f026ef6968,12,4,131,-9.15264129639,38.7390968104
5a535bcfa33116f026ef697e,13,1,535,-9.10727977753,38.7666323337
5a535bcea33116f026ef679b,13,2,572,-9.10727977753,38.7666323337
5a535bcea33116f026ef67a2,13,4,646,-9.10727977753,38.7666323337
5a535bcfa33116f026ef69a8,14,7,579,-9.12302434444,38.7617259148
5a535bcea33116f026ef67df,14,6,579,-9.12330329418,38.7617300977
5a535bcfa33116f026ef69e2,21,4,588,-9.16808009148,38.7228265342
5a535bcfa33116f026ef69fe,21,21,588,-9.16440546513,38.7235631288
5a535bcfa33116f026ef6a02,21,22,10,-9.15845632553,38.7247014874
5a535bcfa33116f026ef69ec,21,10,584,-9.15873527527,38.7247517087
5a535bcfa33116f026ef6a06,21,23,7,-9.15148794651,38.7252078838
5a535bcfa33116f026ef69f6,21,11,8,-9.15240526199,38.7252664748
5a535bcfa33116f026ef6a0a,21,24,15,-9.14880037308,38.7272878377
5a535bcfa33116f026ef69fa,21,12,15,-9.14897739887,38.7273673518
5a535bcfa33116f026ef6a79,22,8,94,-9.14497554302,38.7550705483
5a535bcfa33116f026ef6a1a,22,4,159,-9.14918661118,38.755585096
5a535bcfa33116f026ef6a16,22,3,159,-9.14905250072,38.7556813118
5a535bcfa33116f026ef6a7d,22,9,159,-9.14881110191,38.7559532253
5a535bcfa33116f026ef6a83,22,10,159,-9.14872527122,38.7559950581
5a535bcfa33116f026ef6a1e,22,5,93,-9.1461288929,38.7565681645
5a535bcfa33116f026ef6a6a,22,7,93,-9.14546370506,38.7568400746
5a535bcfa33116f026ef6a12,22,2,160,-9.14343059063,38.7574759221
5a535bcfa33116f026ef6a22,22,6,157,-9.13923561573,38.7587810649
5a535bcfa33116f026ef6a0e,22,1,157,-9.13902640343,38.7588898257
5a535bcfa33116f026ef6a89,23,2,153,-9.12962794304,38.7486614002
5a535bcfa33116f026ef6a93,23,1,280,-9.13267493248,38.7487869113
5a56334d11ea73d83f153fac,23,7,270,-9.13702011108,38.7491048716
5a535bcfa33116f026ef6a8f,23,8,270,-9.13749754429,38.7492471165
5a535bcfa33116f026ef6a95,23,3,154,-9.13084030151,38.7492554838
5a535bcfa33116f026ef6a8b,23,4,154,-9.13088321686,38.7501717017
5a535bcfa33116f026ef6a97,23,5,154,-9.13094222546,38.7501758853
