t-4,t-3,t-2,t-1,Y
79.0,70.0,65.0,66.0,75.0
70.0,65.0,66.0,75.0,82.0
65.0,66.0,75.0,82.0,65.0
66.0,75.0,82.0,65.0,81.0
75.0,82.0,65.0,81.0,75.0
82.0,65.0,81.0,75.0,68.0
65.0,81.0,75.0,68.0,76.0
81.0,75.0,68.0,76.0,84.0
75.0,68.0,76.0,84.0,62.0
68.0,76.0,84.0,62.0,64.0
76.0,84.0,62.0,64.0,81.0
84.0,62.0,64.0,81.0,55.0
62.0,64.0,81.0,55.0,58.0
64.0,81.0,55.0,58.0,49.0
81.0,55.0,58.0,49.0,38.0
55.0,58.0,49.0,38.0,45.0
58.0,49.0,38.0,45.0,33.0
49.0,38.0,45.0,33.0,35.0
38.0,45.0,33.0,35.0,34.0
45.0,33.0,35.0,34.0,31.0
33.0,35.0,34.0,31.0,31.0
35.0,34.0,31.0,31.0,26.0
34.0,31.0,31.0,26.0,36.0
31.0,31.0,26.0,36.0,28.0
31.0,26.0,36.0,28.0,22.0
26.0,36.0,28.0,22.0,29.0
23.0,12.0,14.0,9.0,11.0
12.0,14.0,9.0,11.0,7.0
14.0,9.0,11.0,7.0,20.0
9.0,11.0,7.0,20.0,11.0
11.0,7.0,20.0,11.0,8.0
7.0,20.0,11.0,8.0,9.0
20.0,11.0,8.0,9.0,8.0
11.0,8.0,9.0,8.0,7.0
8.0,9.0,8.0,7.0,8.0
9.0,8.0,7.0,8.0,7.0
8.0,7.0,8.0,7.0,4.0
7.0,8.0,7.0,4.0,5.0
8.0,7.0,4.0,5.0,4.0
7.0,4.0,5.0,4.0,4.0
4.0,5.0,4.0,4.0,8.0
5.0,4.0,4.0,8.0,9.0
4.0,4.0,8.0,9.0,7.0
4.0,8.0,9.0,7.0,6.0
8.0,9.0,7.0,6.0,6.0
9.0,7.0,6.0,6.0,15.0
7.0,6.0,6.0,15.0,15.0
6.0,6.0,15.0,15.0,13.0
6.0,15.0,15.0,13.0,14.0
15.0,15.0,13.0,14.0,18.0
15.0,13.0,14.0,18.0,23.0
13.0,14.0,18.0,23.0,22.0
14.0,18.0,23.0,22.0,33.0
18.0,23.0,22.0,33.0,25.0
23.0,22.0,33.0,25.0,45.0
22.0,33.0,25.0,45.0,37.0
33.0,25.0,45.0,37.0,37.0
25.0,45.0,37.0,37.0,43.0
45.0,37.0,37.0,43.0,55.0
37.0,37.0,43.0,55.0,57.0
37.0,43.0,55.0,57.0,46.0
43.0,55.0,57.0,46.0,51.0
55.0,57.0,46.0,51.0,42.0
57.0,46.0,51.0,42.0,48.0
46.0,51.0,42.0,48.0,47.0
51.0,42.0,48.0,47.0,57.0
42.0,48.0,47.0,57.0,34.0
48.0,47.0,57.0,34.0,53.0
47.0,57.0,34.0,53.0,52.0
57.0,34.0,53.0,52.0,23.0
34.0,53.0,52.0,23.0,0.0
53.0,52.0,23.0,0.0,0.0
52.0,23.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
